GEOID,2023 Median Household Income
470559202.0,51471
470559203.01,52195
470559203.02,51761
470559204.0,49620
470559205.0,52713
470559206.0,62232
470559207.0,54885
470559208.0,53195
470619550.0,42222
470619551.0,53186
470619552.0,49455
470619553.0,54273
470650101.01,84236
470650101.03,84029
470650101.04,79201
470650102.01,97664
470650102.02,63318
470650103.03,78749
470650103.04,85545
470650103.05,91721
470650103.06,71452
470650103.08,62662
470650103.09,50929
470650104.11,93773
470650104.12,75084
470650104.13,92693
470650104.31,76348
470650104.32,93982
470650104.33,53511
470650104.34,92075
470650104.35,54703
470650105.01,70176
470650106.0,59718
470650109.02,63213
470650109.05,55784
470650110.01,76796
470650110.03,130161
470650110.04,140098
470650111.0,114860
470650112.05,117404
470650114.13,80626
470650114.47,99423
470699501.0,44214
470699502.0,43481
470699503.0,37822
470699504.0,38934
470699505.0,48209
470699506.0,37842
470719201.0,63095
470719202.0,47842
470719203.0,53759
470719204.01,38570
470719204.02,46265
470719205.01,55764
470719206.0,45739
470759301.0,57377
470759305.0,42621
470779750.0,64779
470779751.0,49839
470779752.0,54749
470779753.01,58030
470779753.02,58483
470779754.0,32441
470779755.0,43282
470799690.01,47382
470799690.02,51750
470799691.0,51506
470799692.0,52968
470799693.0,37444
470799694.0,34096
470799695.01,35252
470799695.02,40309
470799696.01,46010
470799696.02,61732
470799697.0,44525
470799698.0,43352
470819501.0,63041
470819502.01,50285
470819502.02,55097
470819503.01,46556
470819503.02,51950
470819504.0,52471
470819505.0,53362
470831201.0,54941
470831202.0,49599
470831203.0,39693
470851301.0,59167
470851302.0,45512
470851303.0,46674
470851304.0,56609
470851305.0,64106
470879601.0,40527
470879602.0,39119
470879603.0,44015
470879604.0,26020
470999601.0,54047
470999602.0,46830
470999603.0,51618
470999604.01,40481
470999604.02,64955
470999605.01,33330
470999605.02,47326
470999606.0,43593
470999607.0,57233
470999608.0,56276
471019701.0,48901
471019702.0,45139
471039750.0,60273
471039751.0,65159
471039752.0,78035
471039753.0,46655
471039754.0,52493
471039755.0,63902
471039757.0,77308
471099301.0,44983
471099302.0,50000
471099303.0,48762
471099304.0,43994
471099305.01,43575
471099305.02,43459
471099306.0,53563
471099307.0,53219
471119701.0,39460
471119702.0,74552
471119703.01,31337
471119703.02,40635
471119704.0,62605
471130001.0,44818
471130002.0,41618
471130003.0,50743
471130004.0,36624
471130005.0,17566
471130006.0,39543
471130007.0,32657
471130008.0,17701
471130009.0,22826
471130010.0,32499
471130011.0,15371
471130013.0,49913
471130014.01,49707
471130014.02,63172
471130015.01,59222
471130015.02,72282
471130016.03,63897
471130016.04,90282
471130016.05,53492
471130016.07,69721
471130016.08,84317
471130016.09,85139
471130016.1,130567
471130016.11,66188
471130016.12,56125
471130017.0,61033
471130018.0,57884
471130019.0,66797
471150501.01,57977
471150501.02,59448
471150502.03,58527
471150503.02,59918
471179550.0,77710
471179551.0,60806
471179552.0,57160
471179553.0,39829
471179554.0,66242
471179555.0,67773
471190101.0,63121
471190102.01,95931
471190102.03,97008
471190102.04,85816
471190102.05,89116
471190103.01,88293
471190103.02,84596
471190104.01,63657
471190104.02,50743
471190105.0,43521
471190106.0,46251
471190107.0,41039
471190108.01,78301
471190108.02,59464
471190109.0,62815
471190110.01,67429
471190110.03,104767
471190110.04,45345
471190111.01,96921
471190111.02,92777
471190112.0,68670
471251001.0,20017
471251002.0,36222
471251003.0,54553
471251005.0,43600
471251006.01,73348
471251006.02,48727
471251008.0,34464
471251009.0,34360
471251010.01,48988
471251010.02,60149
471251011.01,55820
471251011.02,56225
471251011.03,58196
471251012.01,37006
471251012.02,60843
471251013.04,51222
471251013.05,75197
471251013.06,52301
471251013.07,56185
471251013.08,51212
471251013.09,76135
471251014.0,60412
471251015.01,61136
471251015.02,77909
471251016.0,73427
471251017.01,75905
471251017.02,71715
471251018.03,90760
471251018.05,96674
471251018.06,78893
471251018.07,107764
471251018.08,90455
471251019.02,100231
471251019.04,115057
471251019.05,85046
471251019.06,62857
471251020.01,59895
471251020.03,62347
471251020.04,68503
471251020.05,58987
471251020.07,77133
471251020.08,70671
471251020.09,83686
471251020.1,70948
