GEOID,2023 Senior Population
470650110.01,480
470650110.03,883
470650110.04,935
470650111.0,1980
470650112.05,1882
470650114.13,1826
470650114.47,1264
470699501.0,772
470699502.0,515
470699503.0,937
470699504.0,980
470699505.0,940
470699506.0,488
470719201.0,963
470719202.0,1185
470719203.0,1093
470719204.01,500
470719204.02,686
470719205.01,852
470719206.0,918
470759301.0,507
470759305.0,539
470779750.0,580
470779751.0,672
470779752.0,1124
470779753.01,603
470779753.02,836
470779754.0,977
470779755.0,810
470799690.01,925
470799690.02,607
470799691.0,703
470799692.0,367
470799693.0,552
470799694.0,399
470799695.01,586
470799695.02,1204
470799696.01,715
470799696.02,1010
470799697.0,687
470799698.0,514
470819501.0,960
470819502.01,639
470819502.02,616
470819503.01,652
470819503.02,1118
470819504.0,519
470819505.0,348
470831201.0,656
470831202.0,534
470831203.0,775
470851301.0,1102
470851302.0,597
470851303.0,1331
470851304.0,653
470851305.0,657
470879601.0,534
470879602.0,563
470879603.0,1304
470879604.0,471
470999601.0,817
470999602.0,511
470999603.0,956
470999604.01,1541
470999604.02,922
470999605.01,1049
470999605.02,940
470999606.0,485
470999607.0,857
470999608.0,771
471019701.0,1225
471019702.0,1713
471039750.0,442
471039751.0,512
471039752.0,480
471039753.0,1487
471039754.0,1167
471039755.0,1035
471039757.0,717
471099301.0,1119
471099302.0,453
471099303.0,568
471099304.0,518
471099305.01,606
471099305.02,1174
471099306.0,781
471099307.0,747
471119701.0,1111
471119702.0,1166
471119703.01,1111
471119703.02,824
471119704.0,836
471130001.0,763
471130002.0,1014
471130003.0,1020
471130004.0,496
471130005.0,384
471130006.0,294
471130007.0,291
471130008.0,208
471130009.0,454
471130010.0,337
471130011.0,125
471130013.0,1282
471130014.01,422
471130014.02,559
471130015.01,616
471130015.02,1200
471130016.03,599
471130016.04,976
471130016.05,276
471130016.07,882
471130016.08,517
471130016.09,569
471130016.1,1061
471130016.11,357
471130016.12,1268
471130017.0,362
471130018.0,655
471130019.0,896
471150501.01,760
471150501.02,1230
471150502.03,506
471150503.02,739
471179550.0,1485
471179551.0,1143
471179552.0,1535
471179553.0,627
471179554.0,1011
471179555.0,1012
471190101.0,781
471190102.01,1951
471190102.03,896
471190102.04,1678
471190102.05,341
471190103.01,1627
471190103.02,564
471190104.01,837
471190104.02,670
471190105.0,909
471190106.0,839
471190107.0,885
471190108.01,989
471190108.02,1120
471190109.0,582
471190110.01,646
471190110.03,440
471190110.04,882
471190111.01,1541
471190111.02,692
471190112.0,1295
471251001.0,103
471251002.0,305
471251003.0,761
471251005.0,986
471251006.01,748
471251006.02,955
471251008.0,245
471251009.0,227
471251010.01,583
471251010.02,429
471251011.01,470
471251011.02,1246
471251011.03,391
471251012.01,133
471251012.02,534
471251013.04,560
471251013.05,366
471251013.06,322
471251013.07,293
471251013.08,316
471251013.09,420
471251014.0,19
471251015.01,440
471251015.02,687
471251016.0,1087
471251017.01,710
471251017.02,1242
471251018.03,1374
471251018.05,783
471251018.06,1306
471251018.07,467
471251018.08,757
471251019.02,610
471251019.04,1485
471251019.05,993
471251019.06,804
471251020.01,904
471251020.03,407
471251020.04,244
471251020.05,547
471251020.07,99
471251020.08,396
471251020.09,455
471251020.1,323
471251021.0,786
471259801.0,0
471279301.0,844
471279302.0,736
471319650.0,964
471319651.0,510
471319654.0,884
471319655.0,515
471319656.0,719
471319657.0,1192
471319658.0,313
471319659.0,298
471339501.0,435
471339502.0,425
471339503.01,1069
471339503.02,730
471339504.0,467
471339505.01,919
471339505.02,479
