GEOID,2023 Total Population
470559203.01,5015
470559203.02,1860
470559204.0,2975
470559205.0,4626
470559206.0,2840
470559207.0,1744
470559208.0,3060
470619550.0,2796
470619551.0,1593
470619552.0,4024
470619553.0,5385
470650101.01,6139
470650101.03,4117
470650101.04,4261
470650102.01,4383
470650102.02,4850
470650103.03,3533
470650103.04,5637
470650103.05,3459
470650103.06,3747
470650103.08,3086
470650103.09,2851
470650104.11,7371
470650104.12,5173
470650104.13,3928
470650104.31,7889
470650104.32,7727
470650104.33,5336
470650104.34,2537
470650104.35,5718
470650105.01,6369
470650106.0,2950
470650109.02,941
470650109.05,4490
470650110.01,1992
470650110.03,4152
470650110.04,4512
470650111.0,6469
470650112.05,9136
470650114.13,8207
470650114.47,8946
470699501.0,3472
470699502.0,6097
470699503.0,3767
470699504.0,5032
470699505.0,4275
470699506.0,2463
470719201.0,4291
470719202.0,4676
470719203.0,4150
470719204.01,1816
470719204.02,3294
470719205.01,4044
470719206.0,3320
470759301.0,2541
470759305.0,2462
470779750.0,2737
470779751.0,3483
470779752.0,5801
470779753.01,3543
470779753.02,3995
470779754.0,4604
470779755.0,3732
470799690.01,2419
470799690.02,2106
470799691.0,2858
470799692.0,1666
470799693.0,3130
470799694.0,1963
470799695.01,1950
470799695.02,3786
470799696.01,2964
470799696.02,4637
470799697.0,2304
470799698.0,2310
470819501.0,5503
470819502.01,3605
470819502.02,3751
470819503.01,2738
470819503.02,4865
470819504.0,2224
470819505.0,2661
470831201.0,3255
470831202.0,2081
470831203.0,2942
470851301.0,5544
470851302.0,2060
470851303.0,5700
470851304.0,2816
470851305.0,2915
470879601.0,1922
470879602.0,2328
470879603.0,5580
470879604.0,1823
470999601.0,5281
470999602.0,2411
470999603.0,6002
470999604.01,5715
470999604.02,4409
470999605.01,4691
470999605.02,4632
470999606.0,2163
470999607.0,3963
470999608.0,3746
471019701.0,5041
471019702.0,7883
471039750.0,1764
471039751.0,2350
471039752.0,1921
471039753.0,6675
471039754.0,4109
471039755.0,5443
471039757.0,3332
471099301.0,4362
471099302.0,2148
471099303.0,2789
471099304.0,2115
471099305.01,2432
471099305.02,5195
471099306.0,3652
471099307.0,3218
471119701.0,5273
471119702.0,6723
471119703.01,4842
471119703.02,4410
471119704.0,5044
471130001.0,4054
471130002.0,6197
471130003.0,4047
471130004.0,3577
471130005.0,3922
471130006.0,1820
471130007.0,2373
471130008.0,2446
471130009.0,2203
471130010.0,1911
471130011.0,986
471130013.0,5865
471130014.01,1985
471130014.02,2231
471130015.01,4720
471130015.02,5677
471130016.03,2330
471130016.04,2810
471130016.05,3017
471130016.07,6027
471130016.08,2430
471130016.09,1862
471130016.1,7365
471130016.11,3115
471130016.12,7749
471130017.0,1476
471130018.0,2952
471130019.0,3913
471150501.01,3561
471150501.02,5943
471150502.03,2526
471150503.02,3106
471179550.0,9416
471179551.0,5941
471179552.0,7090
471179553.0,4220
471179554.0,4276
471179555.0,4816
471190101.0,3673
471190102.01,10528
471190102.03,6748
471190102.04,11484
471190102.05,2590
471190103.01,8706
471190103.02,2887
471190104.01,4156
471190104.02,3804
471190105.0,5311
471190106.0,5466
471190107.0,4803
471190108.01,3501
471190108.02,8426
471190109.0,3310
471190110.01,3006
471190110.03,2651
471190110.04,4080
471190111.01,5086
471190111.02,3137
471190112.0,6629
471251001.0,1761
471251002.0,1927
471251003.0,6009
471251005.0,5216
471251006.01,2379
471251006.02,2874
471251008.0,3606
471251009.0,2670
471251010.01,4476
471251010.02,4044
471251011.01,2939
471251011.02,11114
471251011.03,2797
471251012.01,2434
471251012.02,4929
471251013.04,6959
471251013.05,7239
471251013.06,6333
471251013.07,2575
471251013.08,4061
471251013.09,8342
471251014.0,7019
471251015.01,3624
471251015.02,4310
471251016.0,6019
471251017.01,3588
471251017.02,6074
471251018.03,9193
471251018.05,4671
471251018.06,8669
471251018.07,3935
471251018.08,4155
471251019.02,2819
471251019.04,8035
471251019.05,5708
471251019.06,6407
471251020.01,7594
471251020.03,9089
471251020.04,6688
471251020.05,7809
471251020.07,2274
471251020.08,7660
471251020.09,6934
471251020.1,5392
471251021.0,5392
471259801.0,336
471279301.0,4038
471279302.0,2546
471319650.0,3959
471319651.0,2335
471319654.0,4145
471319655.0,2817
471319656.0,4113
471319657.0,4635
471319658.0,1643
471319659.0,1253
471339501.0,1724
471339502.0,1704
471339503.01,4549
471339503.02,3000
471339504.0,2143
471339505.01,4545
471339505.02,2459
471339506.0,2799
471359301.0,3595
471359302.01,2541
471359302.02,2444
471379251.01,3065
471379251.02,1931
471410001.0,6301
471410002.01,6153
471410002.02,5013
471410003.01,3051
471410003.03,2627
471410003.04,4448
471410003.05,2751
471410004.0,4258
471410005.0,2285
471410006.0,4381
471410007.0,3932
471410008.0,6377
471410009.0,6931
471410010.0,3811
471410011.0,7942
471410012.01,5771
471410012.02,4445
471410013.0,2231
471439752.0,6744
471439753.0,6041
471439754.01,6993
471470801.01,4378
471470801.03,8179
471470801.04,7975
471470802.0,6120
471470803.01,3568
471470803.02,3252
471470804.01,5456
471470804.02,5468
471470805.0,5204
471470806.03,4798
471470806.04,4254
471470806.05,3041
471470806.06,6133
471470807.01,3534
471470807.02,4245
471490401.01,4701
471490401.02,4312
471490401.04,5921
471490401.05,4721
471490401.06,4590
471490401.07,5376
471490402.0,4131
471490403.03,2418
471490403.04,3039
471490403.05,3027
471490403.07,3478
471490403.08,7559
471490403.09,6153
471490403.1,4881
471490403.11,3517
471490403.12,3057
471490404.04,3723
471490404.05,4121
471490405.01,10079
471490405.02,8533
471490406.0,5188
471490407.02,7787
471490407.03,10556
471490407.04,5606
471490408.06,10614
471490408.07,9574
471490408.08,13502
471490408.09,5126
471490408.1,3239
471490408.11,8146
471490408.12,4735
471490409.01,6679
471490409.04,5435
471490409.06,8127
471490409.07,12693
471490409.08,7853
471490409.09,7287
471490409.1,6488
471490409.11,8510
471490410.0,9696
471490411.02,3242
471490411.03,4754
471490411.04,5082
471490412.01,6846
471490412.02,5379
471490413.01,7271
471490413.02,5830
471490414.01,5137
471490414.04,4360
471490414.05,2499
471490414.06,5207
471490414.07,4918
471490415.0,2905
471490416.01,3548
471490416.02,2514
471490417.0,5081
471490418.0,5030
471490419.0,4485
471490420.0,5525
471490421.01,6460
471490421.02,5055
471490422.0,4940
471490423.01,5972
471490423.02,5345
471530601.02,2744
471530601.03,4530
471530601.04,4499
471530602.0,4707
471599750.0,4228
471599751.0,2949
471599752.0,5949
471599753.0,2238
471599754.0,4742
471611102.01,4712
471611102.02,1731
471611106.0,2539
471611107.0,4756
471619801.0,2
471619802.0,0
471650201.01,4030
471650201.02,5182
471650202.03,2742
471650202.04,3912
471650202.05,3155
471650202.06,1484
471650202.07,1926
471650202.08,2711
471650202.09,2352
471650203.0,5438
471650204.03,2210
471650204.04,2077
471650204.05,3273
471650204.06,4170
471650204.07,4929
471650205.01,12687
471650205.02,7942
471650205.03,3146
471650206.01,3709
471650206.02,4775
471650206.03,3748
471650207.0,5644
471650208.0,7253
471650209.01,1376
471650209.03,5281
471650209.04,4078
471650209.05,4330
471650210.02,9009
471650210.04,3777
471650210.05,6078
471650210.06,3966
471650210.07,5362
471650210.08,8666
471650210.09,5576
471650211.03,6142
471650211.04,2087
471650211.05,6702
471650211.06,4219
471650211.07,5783
471650212.01,7772
471650212.03,9251
471650212.04,7942
471650212.05,2929
471690901.0,8913
471690902.0,3083
471759250.0,3324
471759252.0,3079
471779301.0,3748
471779302.01,3193
471779302.02,3667
471779303.0,2850
471779304.0,5887
471779305.0,5086
471779306.0,3643
471779307.0,5195
471779308.0,6457
471779309.0,1898
471819501.0,4393
471819502.0,5305
471819503.0,3295
471819504.0,3134
471839680.0,1060
471839681.01,3427
471839681.02,1766
471839682.01,4620
471839682.02,2051
471839682.03,2981
471839683.0,2033
471839684.0,5516
471839685.0,4474
471839686.0,3365
471839687.0,1268
471859350.0,4437
471859351.0,6269
471859352.0,4495
471859353.0,5517
471859354.0,3725
471859355.0,3619
471870501.02,9113
471870501.03,8643
471870501.04,6008
471870501.05,10971
471870502.04,5845
471870502.05,3694
471870502.06,3486
471870502.07,4586
471870502.09,4331
471870502.1,3061
471870502.11,6971
471870502.12,2120
471870503.03,3159
471870503.04,2589
471870503.05,2840
471870503.06,2160
471870503.07,4102
471870504.03,2052
471870504.04,7030
471870504.05,3481
471870504.06,6250
471870505.02,4542
471870505.03,6139
471870505.04,4913
471870506.01,6038
471870506.03,3281
471870506.04,10705
471870507.01,4355
471870507.02,4675
471870508.01,5051
471870508.02,1503
471870509.04,5308
471870509.05,7289
471870509.06,5631
471870509.07,5917
471870509.08,5170
471870509.09,5713
471870510.01,9182
471870510.02,13124
471870511.0,10571
471870512.03,3652
471870512.04,7769
471870512.05,10201
471870512.06,8837
471870512.07,8532
471870512.08,9946
471890301.02,7447
471890301.03,3358
471890301.04,2478
471890301.05,4276
471890302.02,11473
471890302.03,8260
471890302.05,2238
471890302.06,7334
471890302.07,2388
471890303.03,4392
471890303.04,6881
471890303.05,5134
471890303.08,5430
471890303.09,7287
471890303.1,7647
471890303.11,3315
471890304.01,2910
471890304.02,4689
471890305.0,9606
471890306.0,4492
471890307.0,3548
471890308.0,6978
471890309.04,4289
471890309.05,5486
471890309.06,5436
471890309.07,7536
471890309.08,10205
471890310.0,6126
