GEOID,2028 Median Household Income
210039202.0,75642
210039203.0,41276
210039204.0,51965
210039205.0,47027
210039206.0,68846
210350101.0,64962
210350102.0,80629
210350103.01,7875
210350103.03,18996
210350103.04,50108
210350104.0,33990
210350105.0,44897
210350106.01,57979
210350106.02,93705
210350107.0,68556
210350108.0,52069
210472013.01,83130
210472013.03,56942
210472013.04,52973
210472014.0,74316
210472015.01,51633
210472015.02,50436
210472015.03,51862
210479801.0,0
210539701.0,46334
210539702.02,40974
210539702.03,45766
210539702.04,33391
210579502.0,43465
210759601.0,37526
210759602.0,38643
210830202.0,58810
210830203.01,38451
210830203.02,37569
210830204.0,66841
210830205.0,57398
210830206.0,68740
210830209.0,59389
211059701.0,52562
211419604.0,52477
211419606.0,59090
211719302.0,42530
211719303.0,54785
211719304.0,41289
212139701.0,70851
212139702.0,61260
212139704.01,68696
212139704.02,45545
212199503.0,37527
212199504.0,89976
212219702.02,75258
212219703.02,66312
212219801.0,0
212219802.0,0
470039501.0,82079
470039502.01,85727
470039502.02,60489
470039503.0,63513
470039504.01,76338
470039504.02,50613
470039505.0,56237
470039506.0,58075
470039507.0,70915
470039508.0,82447
470059630.0,56531
470059631.0,58710
470059632.0,50892
470059633.0,50813
470059634.0,46129
470079530.0,50156
470079531.01,84263
470079531.02,60473
470079532.0,67824
470159601.0,67967
470159602.01,46403
470159602.02,64131
470159603.0,72938
470179620.0,50711
470179621.01,51108
470179621.02,47115
470179622.01,43884
470179622.02,75655
470179623.0,58458
470179624.0,60495
470179625.0,52614
470179801.0,0
470210701.02,82195
470210701.03,75820
470210701.04,65029
470210702.01,95889
470210702.02,68682
470210702.03,76608
470210703.0,66016
470210704.01,87292
470210704.02,94200
470239701.01,75965
470239701.02,61011
470239702.0,51784
470239703.01,55241
470239703.02,57393
470279550.0,37759
470279551.0,50950
470319701.0,62296
470319702.01,71561
470319702.02,55725
470319703.0,67108
470319704.01,78512
470319704.02,61959
470319705.01,52512
470319705.02,70871
470319706.0,58060
470319707.0,60749
470319708.01,61833
470319708.03,71913
470319708.04,84398
470319709.0,34645
470319710.01,64647
470319710.02,54754
470319801.0,0
470339610.0,62651
470339611.0,57287
470339614.0,64810
470359702.02,76428
470359703.01,61764
470359703.02,55721
470359704.02,60743
470359706.01,73960
470359707.01,65402
470359707.02,52748
470370101.03,84076
470370101.04,104821
470370101.05,81142
470370101.06,91758
470370102.01,83985
470370102.02,103852
470370103.01,68930
470370103.02,68285
470370103.03,57715
470370104.01,54719
470370104.03,36602
470370104.04,56309
470370105.01,64766
470370105.02,80385
470370106.01,81286
470370106.02,62641
470370107.01,57124
470370107.02,37698
470370108.01,65467
470370108.02,61483
470370109.01,71326
470370109.03,53826
470370109.04,36548
470370110.01,55634
470370110.02,63520
470370111.0,108182
470370112.0,101533
470370113.0,69190
470370114.0,91346
470370115.0,83746
470370116.0,95507
470370117.0,100427
470370118.0,71410
470370119.0,66804
470370121.0,154195
470370122.0,128614
470370126.0,77739
470370127.01,48919
470370127.02,65860
470370128.01,45329
470370128.02,60664
470370130.01,114941
470370130.02,0
470370131.0,94967
470370132.01,63158
470370132.02,82359
470370133.0,102153
470370134.0,114654
470370135.0,88593
470370136.0,31170
470370137.01,55721
470370137.02,51456
470370138.0,48024
470370139.0,42914
470370142.0,37603
470370143.0,46049
470370144.0,50021
470370148.0,13345
470370151.0,82879
470370152.0,72364
470370153.0,91694
470370154.01,100390
470370154.02,92744
470370154.04,62065
470370154.05,74144
470370155.01,60884
470370155.02,61705
470370156.09,80206
470370156.13,48001
470370156.14,71490
470370156.15,57180
470370156.17,91554
470370156.18,70997
470370156.19,103024
470370156.2,61379
470370156.22,118271
470370156.23,59239
470370156.24,76629
470370156.25,72093
470370156.26,62651
470370156.27,66963
470370156.28,55494
470370156.29,61808
470370156.3,65165
470370156.32,62752
470370156.33,137506
470370156.34,86420
470370156.35,112679
470370156.36,85538
470370156.37,66402
470370157.0,81189
470370158.04,52921
470370158.05,48691
470370158.06,45352
470370159.0,21839
470370160.0,29374
470370161.0,64230
470370162.0,46597
470370163.0,97316
470370164.0,62869
470370165.0,62214
470370166.0,65455
470370167.0,159540
470370168.0,112901
470370169.0,158221
470370170.0,137934
470370171.0,107078
470370172.0,73003
470370173.0,64286
470370174.01,59554
470370174.02,63090
470370175.0,54863
470370177.01,192487
470370177.02,148127
470370178.0,118139
470370179.01,164449
470370179.02,170034
470370180.0,151424
470370181.01,56276
470370181.02,157851
470370182.01,159760
470370182.03,200001
470370182.04,56605
470370182.05,96951
470370183.02,124797
470370183.03,86047
470370183.04,136195
470370184.04,97513
470370184.05,148578
470370184.07,135628
470370184.08,151216
470370184.09,81379
470370184.1,67463
470370184.11,82294
470370184.12,93960
470370185.0,200001
470370186.01,200001
470370186.02,200001
470370187.0,200001
470370188.01,124477
470370188.03,93168
470370188.04,140244
470370189.01,57767
470370189.02,102068
470370189.04,73394
470370189.05,71156
470370190.03,54675
470370190.04,54159
