GEOID,2023 Population Density
470379802.0,1.4
470399550.01,17.1
470399550.03,79.0
470399550.04,193.5
470399551.01,41.5
470399551.02,21.8
470419201.01,42.8
470419201.02,60.5
470419202.01,292.0
470419202.02,160.0
470419203.0,43.4
470430601.0,43.8
470430602.01,53.3
470430602.02,109.1
470430603.0,133.9
470430604.01,127.0
470430604.02,174.0
470430605.01,448.7
470430605.02,266.4
470430606.01,269.1
470430606.02,206.6
470430607.0,61.9
470499650.0,16.6
470499653.0,45.0
470519601.0,53.5
470519602.01,152.5
470519602.02,131.0
470519603.0,62.0
470519604.01,956.7
470519604.02,412.0
470519605.0,469.4
470519606.0,49.2
470519607.0,30.3
470519608.0,35.2
470539661.0,70.3
470539662.0,79.0
470539663.0,54.0
470539664.0,115.7
470539665.01,157.3
470539665.02,1092.4
470539666.0,91.6
470539667.01,696.6
470539667.02,57.5
470539668.0,14.1
470539669.0,119.1
470539670.01,176.0
470539670.02,1520.3
470539671.0,325.0
470539673.0,17.1
470539674.0,32.0
470539801.0,0.1
470559201.0,28.0
470559202.0,68.0
470559203.01,109.8
470559203.02,25.2
470559204.0,75.0
470559205.0,87.6
470559206.0,37.0
470559207.0,28.1
470559208.0,48.9
470619550.0,19.6
470619551.0,25.6
470619552.0,45.3
470619553.0,80.4
470650101.01,457.2
470650101.03,162.2
470650101.04,99.2
470650102.01,298.9
470650102.02,129.1
470650103.03,1592.3
470650103.04,934.3
470650103.05,436.6
470650103.06,510.4
470650103.08,682.0
470650103.09,424.0
470650104.11,1116.2
470650104.12,1174.6
470650104.13,644.0
470650104.31,1263.1
470650104.32,1049.7
470650104.33,1923.4
470650104.34,302.7
470650104.35,1062.2
470650105.01,1832.1
470650106.0,2068.7
470650109.02,213.1
470650109.05,1256.9
470650110.01,33.6
470650110.03,173.6
470650110.04,454.3
470650111.0,1397.2
470650112.05,772.5
470650114.13,1139.3
470650114.47,989.5
470699501.0,18.9
470699502.0,67.0
470699503.0,141.9
470699504.0,43.5
470699505.0,31.7
470699506.0,21.3
470719201.0,24.0
470719202.0,39.8
470719203.0,279.2
470719204.01,175.5
470719204.02,1110.6
470719205.01,34.0
470719206.0,44.5
470759301.0,16.0
470759305.0,15.8
470779750.0,27.1
470779751.0,29.5
